ID,Data Point,Column Name,Category,Sub Category,ACS Variable,Databook,At A Glance Population,At A Glance Housing,At A Glance Economy
1,Total Population,pop,Population,Population,B01001_001E,1,1,0,0
2,Total Age by Sex Series,agebysex_total_series,Population,Sex by Age,B01001_001E,1,1,0,0
3,Total Male,age_total_male,Population,Sex by Age,B01001_002E,1,1,0,0
4,Male Under 5,age_m_u5,Population,Sex by Age,B01001_003E,1,1,0,0
5,Male 5 to 9,age_m_5to9,Population,Sex by Age,B01001_004E,1,1,0,0
6,Male 10 to 14,age_m_10to14,Population,Sex by Age,B01001_005E,1,1,0,0
7,Male 15 to 17,age_m_15to17,Population,Sex by Age,B01001_006E,1,1,0,0
8,Male 18 and 19,age_m_18to19,Population,Sex by Age,B01001_007E,1,1,0,0
9,Male 20,age_m_20,Population,Sex by Age,B01001_008E,1,1,0,0
10,Male 21,age_m_21,Population,Sex by Age,B01001_009E,1,1,0,0
11,Male 22 to 24,age_m_22to24,Population,Sex by Age,B01001_010E,1,1,0,0
12,Male 25 to 29,age_m_25to29,Population,Sex by Age,B01001_011E,1,1,0,0
13,Male 30 to 34,age_m_30to34,Population,Sex by Age,B01001_012E,1,1,0,0
14,Male 35 to 39,age_m_35to39,Population,Sex by Age,B01001_013E,1,1,0,0
15,Male 40 to 44,age_m_40to44,Population,Sex by Age,B01001_014E,1,1,0,0
16,Male 45 to 49,age_m_45to49,Population,Sex by Age,B01001_015E,1,1,0,0
17,Male 50 to 54,age_m_50to54,Population,Sex by Age,B01001_016E,1,1,0,0
18,Male 55 to 59,age_m_55to59,Population,Sex by Age,B01001_017E,1,1,0,0
19,Male 60 and 61,age_m_60to61,Population,Sex by Age,B01001_018E,1,1,0,0
20,Male 62 and 64,age_m_62to64,Population,Sex by Age,B01001_019E,1,1,0,0
21,Male 65 and 66,age_m_65to66,Population,Sex by Age,B01001_020E,1,1,0,0
22,Male 67 to 69,age_m_67to69,Population,Sex by Age,B01001_021E,1,1,0,0
23,Male 70 to 74,age_m_70to74,Population,Sex by Age,B01001_022E,1,1,0,0
24,Male 75 to 79,age_m_75to79,Population,Sex by Age,B01001_023E,1,1,0,0
25,Male 80 to 84,age_m_80to84,Population,Sex by Age,B01001_024E,1,1,0,0
26,Male 85 Years and Over,age_m_85+,Population,Sex by Age,B01001_025E,1,1,0,0
27,Female Total,age_total_female,Population,Sex by Age,B01001_026E,1,1,0,0
28,Female Under 5,age_f_u5,Population,Sex by Age,B01001_027E,1,1,0,0
29,Female 5 to 9,age_f_5to9,Population,Sex by Age,B01001_028E,1,1,0,0
30,Female 10 to 14,age_f_10to14,Population,Sex by Age,B01001_029E,1,1,0,0
31,Female 15 to 17,age_f_15to17,Population,Sex by Age,B01001_030E,1,1,0,0
32,Female 18 and 19,age_f_18to19,Population,Sex by Age,B01001_031E,1,1,0,0
33,Female 20,age_f_20,Population,Sex by Age,B01001_032E,1,1,0,0
34,Female 21,age_f_21,Population,Sex by Age,B01001_033E,1,1,0,0
35,Female 22 to 24,age_f_22to24,Population,Sex by Age,B01001_034E,1,1,0,0
36,Female 25 to 29,age_f_25to29,Population,Sex by Age,B01001_035E,1,1,0,0
37,Female 30 to 34,age_f_30to34,Population,Sex by Age,B01001_036E,1,1,0,0
38,Female 35 to 39,age_f_35to39,Population,Sex by Age,B01001_037E,1,1,0,0
39,Female 40 to 44,age_f_40to44,Population,Sex by Age,B01001_038E,1,1,0,0
40,Female 45 to 49,age_f_45to49,Population,Sex by Age,B01001_039E,1,1,0,0
41,Female 50 to 54,age_f_50to54,Population,Sex by Age,B01001_040E,1,1,0,0
42,Female 55 to 59,age_f_55to59,Population,Sex by Age,B01001_041E,1,1,0,0
43,Female 60 and 61,age_f_60to61,Population,Sex by Age,B01001_042E,1,1,0,0
44,Female 62 and 64,age_f_62to64,Population,Sex by Age,B01001_043E,1,1,0,0
45,Female 65 and 66,age_f_65to66,Population,Sex by Age,B01001_044E,1,1,0,0
46,Female 67 to 69,age_f_67to69,Population,Sex by Age,B01001_045E,1,1,0,0
47,Female 70 to 74,age_f_70to74,Population,Sex by Age,B01001_046E,1,1,0,0
48,Female 75 to 79,age_f_75to79,Population,Sex by Age,B01001_047E,1,1,0,0
49,Female 80 to 84,age_f_80to84,Population,Sex by Age,B01001_048E,1,1,0,0
50,Female 85 Years and Over,age_f_85+,Population,Sex by Age,B01001_049E,1,1,0,0
51,White Alone,raceeth_white_alone,Population,Race and Ethnicity,B01001A_001E,1,1,0,0
52,Black or African American Alone,raceeth_blackafricanamerican_alone,Population,Race and Ethnicity,B01001B_001E,1,1,0,0
53,American Indian and Alaska Native Alone,raceeth_americanindianalaskanative_alone,Population,Race and Ethnicity,B01001C_001E,1,1,0,0
54,Asian Alone,raceeth_asian_alone,Population,Race and Ethnicity,B01001D_001E,1,1,0,0
55,Native Hawaiian and Other Pacific Islander Alone,raceeth_nativehawaiianotherpacificislander_alone,Population,Race and Ethnicity,B01001E_001E,1,1,0,0
56,Some Other Race Alone,raceeth_someotherrace_alone,Population,Race and Ethnicity,B01001F_001E,1,1,0,0
57,Two or More Races Alone,raceeth_twoormoreraces_alone,Population,Race and Ethnicity,B01001G_001E,1,1,0,0
58,White Alone Not Hispanic or Latino,raceeth_whitealone_nothispanicorlatino,Population,Race and Ethnicity,B01001H_001E,1,1,0,0
59,Hispanic or Latino,raceeth_hispanicorlatino,Population,Race and Ethnicity,B01001I_001E,1,1,0,0
60,Average Household Size,hhsize_avg,Population,Household,B25010_001E,1,1,0,0
61,Total for Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_healthcare_series,Population,Healthcare,B27001_001E,1,0,0,0
62,Total Male Health Insurance Coverage,healthcoverage_total_mallhealthcare,Population,Healthcare,B27001_002E,1,0,0,0
63,Male Under 6 Healthcare Coverage,healthcoverage_mu6_all,Population,Healthcare,B27001_003E,1,0,0,0
64,Male Under 6 With Health Insurance,healthcoverage_mu6_w,Population,Healthcare,B27001_004E,1,0,0,0
65,Male Under 6 Without Health Insurance,healthcoverage_mu6_wo,Population,Healthcare,B27001_005E,1,0,0,0
66,Male 6 to 18  Healthcare Coverage,healthcoverage_m6to18_all,Population,Healthcare,B27001_006E,1,0,0,0
67,Male 6 to 18 With Health Insurance,healthcoverage_m6to18_w,Population,Healthcare,B27001_007E,1,0,0,0
68,Male 6 to 18 Without Health Insurance,healthcoverage_m6to18_wo,Population,Healthcare,B27001_008E,1,0,0,0
69,Male 19 to 25 Healthcare Coverage,healthcoverage_m19to25_all,Population,Healthcare,B27001_009E,1,0,0,0
70,Male 19 to 25 With Health Insurance,healthcoverage_m19to25_w,Population,Healthcare,B27001_010E,1,0,0,0
71,Male 19 to 25 Without Health Insurance,healthcoverage_m19to25_wo,Population,Healthcare,B27001_011E,1,0,0,0
72,Male 26 to 34 Healthcare Coverage,healthcoverage_m26to34_all,Population,Healthcare,B27001_012E,1,0,0,0
73,Male 26 to 34 With Health Insurance,healthcoverage_m26to34_w,Population,Healthcare,B27001_013E,1,0,0,0
74,Male 26 to 34 Without Health Insurance,healthcoverage_m26to34_wo,Population,Healthcare,B27001_014E,1,0,0,0
75,Male 35 to 44 Healthcare Coverage,healthcoverage_m35to44_all,Population,Healthcare,B27001_015E,1,0,0,0
76,Male 35 to 44 With Health Insurance,healthcoverage_m35to44_w,Population,Healthcare,B27001_016E,1,0,0,0
77,Male 35 to 44 Without Health Insurance,healthcoverage_m35to44_wo,Population,Healthcare,B27001_017E,1,0,0,0
78,Male 45 to 54 Healthcare Coverage,healthcoverage_m45to54_all,Population,Healthcare,B27001_018E,1,0,0,0
79,Male 45 to 54 With Health Insurance,healthcoverage_m45to54_w,Population,Healthcare,B27001_019E,1,0,0,0
80,Male 45 to 54 Without Health Insurance,healthcoverage_m45to54_wo,Population,Healthcare,B27001_020E,1,0,0,0
81,Male 55 to 64 Healthcare Coverage,healthcoverage_m55to64_all,Population,Healthcare,B27001_021E,1,0,0,0
82,Male 55 to 64 With Health Insurance,healthcoverage_m55to64_w,Population,Healthcare,B27001_022E,1,0,0,0
83,Male 55 to 64 Without Health Insurance,healthcoverage_m55to64_wo,Population,Healthcare,B27001_023E,1,0,0,0
84,Male 65 to 74 Healthcare Coverage,healthcoverage_m65to74_all,Population,Healthcare,B27001_024E,1,0,0,0
85,Male 65 to 74 With Health Insurance,healthcoverage_m65to74_w,Population,Healthcare,B27001_025E,1,0,0,0
86,Male 65 to 74 Without Health Insurance,healthcoverage_m65to74_wo,Population,Healthcare,B27001_026E,1,0,0,0
87,Male 75 and Over Healthcare Coverage,healthcoverage_m75+_all,Population,Healthcare,B27001_027E,1,0,0,0
88,Male 75 and Over With Health Insurance,healthcoverage_m75+_w,Population,Healthcare,B27001_028E,1,0,0,0
89,Male 75 and Over Without Health Insurance,healthcoverage_m75+_wo,Population,Healthcare,B27001_029E,1,0,0,0
90,Total Female Health Insurance Coverage,healthcoverage_total_fallhealthcare,Population,Healthcare,B27001_030E,1,0,0,0
91,Female Under 6 Healthcare Coverage,healthcoverage_fu6_all,Population,Healthcare,B27001_031E,1,0,0,0
92,Female Under 6 With Health Insurance,healthcoverage_fu6_w,Population,Healthcare,B27001_032E,1,0,0,0
93,Female Under 6 Without Health Insurance,healthcoverage_fu6_wo,Population,Healthcare,B27001_033E,1,0,0,0
94,Female 6 to 18  Healthcare Coverage,healthcoverage_f6to18_all,Population,Healthcare,B27001_034E,1,0,0,0
95,Female 6 to 18 With Health Insurance,healthcoverage_f6to18_w,Population,Healthcare,B27001_035E,1,0,0,0
96,Female 6 to 18 Without Health Insurance,healthcoverage_f6to18_wo,Population,Healthcare,B27001_036E,1,0,0,0
97,Female 19 to 25 Healthcare Coverage,healthcoverage_f19to25_all,Population,Healthcare,B27001_037E,1,0,0,0
98,Female 19 to 25 With Health Insurance,healthcoverage_f19to25_w,Population,Healthcare,B27001_038E,1,0,0,0
99,Female 19 to 25 Without Health Insurance,healthcoverage_f19to25_wo,Population,Healthcare,B27001_039E,1,0,0,0
100,Female 26 to 34 Healthcare Coverage,healthcoverage_f26to34_all,Population,Healthcare,B27001_040E,1,0,0,0
101,Female 26 to 34 With Health Insurance,healthcoverage_f26to34_w,Population,Healthcare,B27001_041E,1,0,0,0
102,Female 26 to 34 Without Health Insurance,healthcoverage_f26to34_wo,Population,Healthcare,B27001_042E,1,0,0,0
103,Female 35 to 44 Healthcare Coverage,healthcoverage_f35to44_all,Population,Healthcare,B27001_043E,1,0,0,0
104,Female 35 to 44 With Health Insurance,healthcoverage_f35to44_w,Population,Healthcare,B27001_044E,1,0,0,0
105,Female 35 to 44 Without Health Insurance,healthcoverage_f35to44_wo,Population,Healthcare,B27001_045E,1,0,0,0
106,Female 45 to 54 Healthcare Coverage,healthcoverage_f45to54_all,Population,Healthcare,B27001_046E,1,0,0,0
107,Female 45 to 54 With Health Insurance,healthcoverage_f45to54_w,Population,Healthcare,B27001_047E,1,0,0,0
108,Female 45 to 54 Without Health Insurance,healthcoverage_f45to54_wo,Population,Healthcare,B27001_048E,1,0,0,0
109,Female 55 to 64 Healthcare Coverage,healthcoverage_f55to64_all,Population,Healthcare,B27001_049E,1,0,0,0
110,Female 55 to 64 With Health Insurance,healthcoverage_f55to64_w,Population,Healthcare,B27001_050E,1,0,0,0
111,Female 55 to 64 Without Health Insurance,healthcoverage_f55to64_wo,Population,Healthcare,B27001_051E,1,0,0,0
112,Female 65 to 74 Healthcare Coverage,healthcoverage_f65to74_all,Population,Healthcare,B27001_052E,1,0,0,0
113,Female 65 to 74 With Health Insurance,healthcoverage_f65to74_w,Population,Healthcare,B27001_053E,1,0,0,0
114,Female 65 to 74 Without Health Insurance,healthcoverage_f65to74_wo,Population,Healthcare,B27001_054E,1,0,0,0
115,Female 75 and Over Healthcare Coverage,healthcoverage_f75+_all,Population,Healthcare,B27001_055E,1,0,0,0
116,Female 75 and Over With Health Insurance,healthcoverage_f75+_w,Population,Healthcare,B27001_056E,1,0,0,0
117,Female 75 and Over Without Health Insurance,healthcoverage_f75+_wo,Population,Healthcare,B27001_057E,1,0,0,0
118,Total for Private Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_privatehealthcare_series,Population,Healthcare,B27002_001E,1,0,0,0
119,Total Male Private Health Insurance Coverage,healthcoverage_total_mprivate,Population,Healthcare,B27002_002E,1,0,0,0
120,Male Under 6 Private Healthcare Coverage,healthcoverage_mu6_privateall,Population,Healthcare,B27002_003E,1,0,0,0
121,Male Under 6 With Private Health Insurance,healthcoverage_mu6_wprivate,Population,Healthcare,B27002_004E,1,0,0,0
122,Male Under 6 Without Private Health Insurance,healthcoverage_mu6_woprivate,Population,Healthcare,B27002_005E,1,0,0,0
123,Male 6 to 18  Private Healthcare Coverage,healthcoverage_m6to18_privateall,Population,Healthcare,B27002_006E,1,0,0,0
124,Male 6 to 18 With Private Health Insurance,healthcoverage_m6to18_wprivate,Population,Healthcare,B27002_007E,1,0,0,0
125,Male 6 to 18 Without Private Health Insurance,healthcoverage_m6to18_woprivate,Population,Healthcare,B27002_008E,1,0,0,0
126,Male 19 to 25 Private Healthcare Coverage,healthcoverage_m19to25_privateall,Population,Healthcare,B27002_009E,1,0,0,0
127,Male 19 to 25 With Private Health Insurance,healthcoverage_m19to25_wprivate,Population,Healthcare,B27002_010E,1,0,0,0
128,Male 19 to 25 Without Private Health Insurance,healthcoverage_m19to25_woprivate,Population,Healthcare,B27002_011E,1,0,0,0
129,Male 26 to 34 Private Healthcare Coverage,healthcoverage_m26to34_privateall,Population,Healthcare,B27002_012E,1,0,0,0
130,Male 26 to 34 With Private Health Insurance,healthcoverage_m26to34_wprivate,Population,Healthcare,B27002_013E,1,0,0,0
131,Male 26 to 34 Without Private Health Insurance,healthcoverage_m26to34_woprivate,Population,Healthcare,B27002_014E,1,0,0,0
132,Male 35 to 44 Private Healthcare Coverage,healthcoverage_m35to44_privateall,Population,Healthcare,B27002_015E,1,0,0,0
133,Male 35 to 44 With Private Health Insurance,healthcoverage_m35to44_wprivate,Population,Healthcare,B27002_016E,1,0,0,0
134,Male 35 to 44 Without Private Health Insurance,healthcoverage_m35to44_woprivate,Population,Healthcare,B27002_017E,1,0,0,0
135,Male 45 to 54 Private Healthcare Coverage,healthcoverage_m45to54_privateall,Population,Healthcare,B27002_018E,1,0,0,0
136,Male 45 to 54 With Private Health Insurance,healthcoverage_m45to54_wprivate,Population,Healthcare,B27002_019E,1,0,0,0
137,Male 45 to 54 Without Private Health Insurance,healthcoverage_m45to54_woprivate,Population,Healthcare,B27002_020E,1,0,0,0
138,Male 55 to 64 Private Healthcare Coverage,healthcoverage_m55to64_privateall,Population,Healthcare,B27002_021E,1,0,0,0
139,Male 55 to 64 With Private Health Insurance,healthcoverage_m55to64_wprivate,Population,Healthcare,B27002_022E,1,0,0,0
140,Male 55 to 64 Without Private Health Insurance,healthcoverage_m55to64_woprivate,Population,Healthcare,B27002_023E,1,0,0,0
141,Male 65 to 74 Private Healthcare Coverage,healthcoverage_m65to74_privateall,Population,Healthcare,B27002_024E,1,0,0,0
142,Male 65 to 74 With Private Health Insurance,healthcoverage_m65to74_wprivate,Population,Healthcare,B27002_025E,1,0,0,0
143,Male 65 to 74 Without Private Health Insurance,healthcoverage_m65to74_woprivate,Population,Healthcare,B27002_026E,1,0,0,0
144,Male 75 and Over Private Healthcare Coverage,healthcoverage_m75+_privateall,Population,Healthcare,B27002_027E,1,0,0,0
145,Male 75 and Over With Private Health Insurance,healthcoverage_m75+_wprivate,Population,Healthcare,B27002_028E,1,0,0,0
146,Male 75 and Over Without Private Health Insurance,healthcoverage_m75+_woprivate,Population,Healthcare,B27002_029E,1,0,0,0
147,Total Female Private Health Insurance Coverage,healthcoverage_total_fprivate,Population,Healthcare,B27002_030E,1,0,0,0
148,Female Under 6 Private Healthcare Coverage,healthcoverage_fu6_privateall,Population,Healthcare,B27002_031E,1,0,0,0
149,Female Under 6 With Private Health Insurance,healthcoverage_fu6_wprivate,Population,Healthcare,B27002_032E,1,0,0,0
150,Female Under 6 Without Private Health Insurance,healthcoverage_fu6_woprivate,Population,Healthcare,B27002_033E,1,0,0,0
151,Female 6 to 18  Private Healthcare Coverage,healthcoverage_f6to18_privateall,Population,Healthcare,B27002_034E,1,0,0,0
152,Female 6 to 18 With Private Health Insurance,healthcoverage_f6to18_wprivate,Population,Healthcare,B27002_035E,1,0,0,0
153,Female 6 to 18 Without Private Health Insurance,healthcoverage_f6to18_woprivate,Population,Healthcare,B27002_036E,1,0,0,0
154,Female 19 to 25 Private Healthcare Coverage,healthcoverage_f19to25_privateall,Population,Healthcare,B27002_037E,1,0,0,0
155,Female 19 to 25 With Private Health Insurance,healthcoverage_f19to25_wprivate,Population,Healthcare,B27002_038E,1,0,0,0
156,Female 19 to 25 Without Private Health Insurance,healthcoverage_f19to25_woprivate,Population,Healthcare,B27002_039E,1,0,0,0
157,Female 26 to 34 Private Healthcare Coverage,healthcoverage_f26to34_privateall,Population,Healthcare,B27002_040E,1,0,0,0
158,Female 26 to 34 With Private Health Insurance,healthcoverage_f26to34_wprivate,Population,Healthcare,B27002_041E,1,0,0,0
159,Female 26 to 34 Without Private Health Insurance,healthcoverage_f26to34_woprivate,Population,Healthcare,B27002_042E,1,0,0,0
160,Female 35 to 44 Private Healthcare Coverage,healthcoverage_f35to44_privateall,Population,Healthcare,B27002_043E,1,0,0,0
161,Female 35 to 44 With Private Health Insurance,healthcoverage_f35to44_wprivate,Population,Healthcare,B27002_044E,1,0,0,0
162,Female 35 to 44 Without Private Health Insurance,healthcoverage_f35to44_woprivate,Population,Healthcare,B27002_045E,1,0,0,0
163,Female 45 to 54 Private Healthcare Coverage,healthcoverage_f45to54_privateall,Population,Healthcare,B27002_046E,1,0,0,0
164,Female 45 to 54 With Private Health Insurance,healthcoverage_f45to54_wprivate,Population,Healthcare,B27002_047E,1,0,0,0
165,Female 45 to 54 Without Private Health Insurance,healthcoverage_f45to54_woprivate,Population,Healthcare,B27002_048E,1,0,0,0
166,Female 55 to 64 Private Healthcare Coverage,healthcoverage_f55to64_privateall,Population,Healthcare,B27002_049E,1,0,0,0
167,Female 55 to 64 With Private Health Insurance,healthcoverage_f55to64_wprivate,Population,Healthcare,B27002_050E,1,0,0,0
168,Female 55 to 64 Without Private Health Insurance,healthcoverage_f55to64_woprivate,Population,Healthcare,B27002_051E,1,0,0,0
169,Female 65 to 74 Private Healthcare Coverage,healthcoverage_f65to74_privateall,Population,Healthcare,B27002_052E,1,0,0,0
170,Female 65 to 74 With Private Health Insurance,healthcoverage_f65to74_wprivate,Population,Healthcare,B27002_053E,1,0,0,0
171,Female 65 to 74 Without Private Health Insurance,healthcoverage_f65to74_woprivate,Population,Healthcare,B27002_054E,1,0,0,0
172,Female 75 and Over Private Healthcare Coverage,healthcoverage_f75+_privateall,Population,Healthcare,B27002_055E,1,0,0,0
173,Female 75 and Over With Private Health Insurance,healthcoverage_f75+_wprivate,Population,Healthcare,B27002_056E,1,0,0,0
174,Female 75 and Over Without Private Health Insurance,healthcoverage_f75+_woprivate,Population,Healthcare,B27002_057E,1,0,0,0
175,Total for Public Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_publichealthcare_series,Population,Healthcare,B27003_001E,1,0,0,0
176,Total Male Public Health Insurance Coverage,healthcoverage_total_mpublic,Population,Healthcare,B27003_002E,1,0,0,0
177,Male Under 6 Public Healthcare Coverage,healthcoverage_mu6_publicall,Population,Healthcare,B27003_003E,1,0,0,0
178,Male Under 6 With Public Health Insurance,healthcoverage_mu6_wpublic,Population,Healthcare,B27003_004E,1,0,0,0
179,Male Under 6 Without Public Health Insurance,healthcoverage_mu6_wopublic,Population,Healthcare,B27003_005E,1,0,0,0
180,Male 6 to 18  Public Healthcare Coverage,healthcoverage_m6to18_publicall,Population,Healthcare,B27003_006E,1,0,0,0
181,Male 6 to 18 With Public Health Insurance,healthcoverage_m6to18_wpublic,Population,Healthcare,B27003_007E,1,0,0,0
182,Male 6 to 18 Without Public Health Insurance,healthcoverage_m6to18_wopublic,Population,Healthcare,B27003_008E,1,0,0,0
183,Male 19 to 25 Public Healthcare Coverage,healthcoverage_m19to25_publicall,Population,Healthcare,B27003_009E,1,0,0,0
184,Male 19 to 25 With Public Health Insurance,healthcoverage_m19to25_wpublic,Population,Healthcare,B27003_010E,1,0,0,0
185,Male 19 to 25 Without Public Health Insurance,healthcoverage_m19to25_wopublic,Population,Healthcare,B27003_011E,1,0,0,0
186,Male 26 to 34 Public Healthcare Coverage,healthcoverage_m26to34_publicall,Population,Healthcare,B27003_012E,1,0,0,0
187,Male 26 to 34 With Public Health Insurance,healthcoverage_m26to34_wpublic,Population,Healthcare,B27003_013E,1,0,0,0
188,Male 26 to 34 Without Public Health Insurance,healthcoverage_m26to34_wopublic,Population,Healthcare,B27003_014E,1,0,0,0
189,Male 35 to 44 Public Healthcare Coverage,healthcoverage_m35to44_publicall,Population,Healthcare,B27003_015E,1,0,0,0
190,Male 35 to 44 With Public Health Insurance,healthcoverage_m35to44_wpublic,Population,Healthcare,B27003_016E,1,0,0,0
191,Male 35 to 44 Without Public Health Insurance,healthcoverage_m35to44_wopublic,Population,Healthcare,B27003_017E,1,0,0,0
192,Male 45 to 54 Public Healthcare Coverage,healthcoverage_m45to54_publicall,Population,Healthcare,B27003_018E,1,0,0,0
193,Male 45 to 54 With Public Health Insurance,healthcoverage_m45to54_wpublic,Population,Healthcare,B27003_019E,1,0,0,0
194,Male 45 to 54 Without Public Health Insurance,healthcoverage_m45to54_wopublic,Population,Healthcare,B27003_020E,1,0,0,0
195,Male 55 to 64 Public Healthcare Coverage,healthcoverage_m55to64_publicall,Population,Healthcare,B27003_021E,1,0,0,0
196,Male 55 to 64 With Public Health Insurance,healthcoverage_m55to64_wpublic,Population,Healthcare,B27003_022E,1,0,0,0
197,Male 55 to 64 Without Public Health Insurance,healthcoverage_m55to64_wopublic,Population,Healthcare,B27003_023E,1,0,0,0
198,Male 65 to 74 Public Healthcare Coverage,healthcoverage_m65to74_publicall,Population,Healthcare,B27003_024E,1,0,0,0
199,Male 65 to 74 With Public Health Insurance,healthcoverage_m65to74_wpublic,Population,Healthcare,B27003_025E,1,0,0,0
200,Male 65 to 74 Without Public Health Insurance,healthcoverage_m65to74_wopublic,Population,Healthcare,B27003_026E,1,0,0,0
201,Male 75 and Over Public Healthcare Coverage,healthcoverage_m75+_publicall,Population,Healthcare,B27003_027E,1,0,0,0
202,Male 75 and Over With Public Health Insurance,healthcoverage_m75+_wpublic,Population,Healthcare,B27003_028E,1,0,0,0
203,Male 75 and Over Without Public Health Insurance,healthcoverage_m75+_wopublic,Population,Healthcare,B27003_029E,1,0,0,0
204,Total Female Public Health Insurance Coverage,healthcoverage_total_fpublic,Population,Healthcare,B27003_030E,1,0,0,0
205,Female Under 6 Public Healthcare Coverage,healthcoverage_fu6_publicall,Population,Healthcare,B27003_031E,1,0,0,0
206,Female Under 6 With Public Health Insurance,healthcoverage_fu6_wpublic,Population,Healthcare,B27003_032E,1,0,0,0
207,Female Under 6 Without Public Health Insurance,healthcoverage_fu6_wopublic,Population,Healthcare,B27003_033E,1,0,0,0
208,Female 6 to 18  Public Healthcare Coverage,healthcoverage_f6to18_publicall,Population,Healthcare,B27003_034E,1,0,0,0
209,Female 6 to 18 With Public Health Insurance,healthcoverage_f6to18_wpublic,Population,Healthcare,B27003_035E,1,0,0,0
210,Female 6 to 18 Without Public Health Insurance,healthcoverage_f6to18_wopublic,Population,Healthcare,B27003_036E,1,0,0,0
211,Female 19 to 25 Public Healthcare Coverage,healthcoverage_f19to25_publicall,Population,Healthcare,B27003_037E,1,0,0,0
212,Female 19 to 25 With Public Health Insurance,healthcoverage_f19to25_wpublic,Population,Healthcare,B27003_038E,1,0,0,0
213,Female 19 to 25 Without Public Health Insurance,healthcoverage_f19to25_wopublic,Population,Healthcare,B27003_039E,1,0,0,0
214,Female 26 to 34 Public Healthcare Coverage,healthcoverage_f26to34_publicall,Population,Healthcare,B27003_040E,1,0,0,0
215,Female 26 to 34 With Public Health Insurance,healthcoverage_f26to34_wpublic,Population,Healthcare,B27003_041E,1,0,0,0
216,Female 26 to 34 Without Public Health Insurance,healthcoverage_f26to34_wopublic,Population,Healthcare,B27003_042E,1,0,0,0
217,Female 35 to 44 Public Healthcare Coverage,healthcoverage_f35to44_publicall,Population,Healthcare,B27003_043E,1,0,0,0
