ID,Data Point,Column Name,Category,Sub Category,ACS Variable,Databook,At A Glance Population,At A Glance Housing,At A Glance Economy
218,Female 35 to 44 With Public Health Insurance,healthcoverage_f35to44_wpublic,Population,Healthcare,B27003_044E,1,0,0,0
219,Female 35 to 44 Without Public Health Insurance,healthcoverage_f35to44_wopublic,Population,Healthcare,B27003_045E,1,0,0,0
220,Female 45 to 54 Public Healthcare Coverage,healthcoverage_f45to54_publicall,Population,Healthcare,B27003_046E,1,0,0,0
221,Female 45 to 54 With Public Health Insurance,healthcoverage_f45to54_wpublic,Population,Healthcare,B27003_047E,1,0,0,0
222,Female 45 to 54 Without Public Health Insurance,healthcoverage_f45to54_wopublic,Population,Healthcare,B27003_048E,1,0,0,0
223,Female 55 to 64 Public Healthcare Coverage,healthcoverage_f55to64_publicall,Population,Healthcare,B27003_049E,1,0,0,0
224,Female 55 to 64 With Public Health Insurance,healthcoverage_f55to64_wpublic,Population,Healthcare,B27003_050E,1,0,0,0
225,Female 55 to 64 Without Public Health Insurance,healthcoverage_f55to64_wopublic,Population,Healthcare,B27003_051E,1,0,0,0
226,Female 65 to 74 Public Healthcare Coverage,healthcoverage_f65to74_publicall,Population,Healthcare,B27003_052E,1,0,0,0
227,Female 65 to 74 With Public Health Insurance,healthcoverage_f65to74_wpublic,Population,Healthcare,B27003_053E,1,0,0,0
228,Female 65 to 74 Without Public Health Insurance,healthcoverage_f65to74_wopublic,Population,Healthcare,B27003_054E,1,0,0,0
229,Female 75 and Over Public Healthcare Coverage,healthcoverage_f75+_publicall,Population,Healthcare,B27003_055E,1,0,0,0
230,Female 75 and Over With Public Health Insurance,healthcoverage_f75+_wpublic,Population,Healthcare,B27003_056E,1,0,0,0
231,Female 75 and Over Without Public Health Insurance,healthcoverage_f75+_wopublic,Population,Healthcare,B27003_057E,1,0,0,0
232,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,B17001_001E,1,1,0,0
233,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,B17001_002E,1,1,0,0
234,Housing Units,units_allhousing,Housing,Housing,B25001_001E,1,0,1,0
235,Total Occupancy Status Series,occupancy_total_series,Housing,Occupancy,B25002_001E,1,0,1,0
236,Occupied Units,occupancy_occupiedunits,Housing,Occupancy,B25002_002E,1,0,0,0
237,Vacant Units,occupancy_vacantunits,Housing,Occupancy,B25002_003E,1,0,0,0
238,Total Tenure Series,tenure_total_series,Housing,Tenure,B25003_001E,1,0,0,0
239,Owner Occupied Units,tenure_owneroccunits,Housing,Tenure,B25003_002E,1,0,0,0
240,Renter Occupied Units,tenure_renteroccunits,Housing,Tenure,B25003_003E,1,0,0,0
241,Total for Units in Structure,units_total_series,Housing,Units in Structure,B25024_001E,1,0,1,0
242,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,B25024_002E,1,0,0,0
243,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,B25024_003E,1,0,0,0
244,2 Units in Structure,units_two,Housing,Units in Structure,B25024_004E,1,0,0,0
245,3 or 4 Units in Structure,units_threetofour,Housing,Units in Structure,B25024_005E,1,0,0,0
246,5 to 9 Units in Structure,units_fivetonine,Housing,Units in Structure,B25024_006E,1,0,0,0
247,10 to 19 Units in Structure,units_tentonineteen,Housing,Units in Structure,B25024_007E,1,0,0,0
248,20 to 49 Units in Structure,units_twentytofortynine,Housing,Units in Structure,B25024_008E,1,0,0,0
249,50 or More Units in Structure,units_fiftyormore,Housing,Units in Structure,B25024_009E,1,0,0,0
250,Mobile Home Unit,units_mobilehome,Housing,Units in Structure,B25024_010E,1,0,0,0
251,"Boat, RV, Van etc. Unit",units_boatrvvanetc,Housing,Units in Structure,B25024_011E,1,0,0,0
252,Total Household Type Series,hhtype_total_series,Housing,Household Type,B11001_001E,1,0,1,0
253,Family Households,hhtype_familyhh,Housing,Household Type,B11001_002E,1,0,1,0
254,Family Household Married Couple Family,hhtype_familyhh_marriedcouplefam,Housing,Household Type,B11001_003E,1,0,1,0
255,Family Households Other Family,hhtype_familyhh_otherfam,Housing,Household Type,B11001_004E,1,0,1,0
256,Family Households Male Householder No Spouse,hhtype_familyhh_malenospouse,Housing,Household Type,B11001_005E,1,0,1,0
257,Family Households Female Householder No Spouse,hhtype_familyhh_femalenospouse,Housing,Household Type,B11001_006E,1,0,1,0
258,Nonfamily Households,hhtype_nonfamhh,Housing,Household Type,B11001_007E,1,0,1,0
259,Nonfamily Household Householder Living Alone,hhtype_nonfamhh_householderalone,Housing,Household Type,B11001_008E,1,0,1,0
260,Nonfamily Household Householder Not Living Alone,hhtype_nonfamhh_householdernotalone,Housing,Household Type,B11001_009E,1,0,1,0
261,Median Household Income,hhincome_median,Housing,Housing,B19013_001E,1,0,1,0
262,Total Mortgage Status by Selected Monthly Owner Cost as a Percentage of Household Income in the Past 12 Months Series,housingcost_total_selectedownercosts%hhincome_series,Housing,Cost Burden,B25091_001E,1,0,1,0
263,Total Percent Owner Costs with a Mortgage Series,housingcost_total%ownercostwmortgage_series,Housing,Cost Burden,B25091_002E,1,0,1,0
264,Housing Units with a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_wmortgage,Housing,Cost Burden,B25091_008E,1,0,1,0
265,Housing Units with a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_wmortgage,Housing,Cost Burden,B25091_009E,1,0,1,0
266,Housing Units with a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_wmortgage,Housing,Cost Burden,B25091_010E,1,0,1,0
267,Housing Units with a Mortgage 50 or More Percent,housingcost_%ownercost50+_wmortgage,Housing,Cost Burden,B25091_011E,1,0,1,0
268,Total Percent Owner Costs without a Mortgage Series,housingcost_total%ownercostwomortgage_series,Housing,Cost Burden,B25091_013E,1,0,1,0
269,Housing Units without a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_womortgage,Housing,Cost Burden,B25091_019E,1,0,1,0
270,Housing Units without a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_womortgage,Housing,Cost Burden,B25091_020E,1,0,1,0
271,Housing Units without a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_womortgage,Housing,Cost Burden,B25091_021E,1,0,1,0
272,Housing Units without a Mortgage 50 or More Percent,housingcost_%ownercost50+_womortgage,Housing,Cost Burden,B25091_022E,1,0,1,0
273,Total Gross Rent as Percentage of Household Income in Past 12 Months Series,housingcost_total_rent%hhincome_series,Housing,Cost Burden,B25070_001E,1,0,1,0
274,Gross Rent 30 to 34.9 Percent of Household Income,housingcost_%rentercost30to34.9,Housing,Cost Burden,B25070_007E,1,0,1,0
275,Gross Rent 35 to 39.9 Percent of Household Income,housingcost_%rentercost35to39.9,Housing,Cost Burden,B25070_008E,1,0,1,0
276,Gross Rent 40 to 49.9 Percent of Household Income,housingcost_%rentercost40to49.9,Housing,Cost Burden,B25070_009E,1,0,1,0
277,Gross Rent 50 Percent or More of Household Income,housingcost_%rentercost50+,Housing,Cost Burden,B25070_010E,1,0,1,0
278,Median Value for Owner Occupied Units with a Mortgage,housingcost_medvalue_ownerocc_wmortgage,Housing,Home Value,B25097_002E,1,0,0,0
279,Median Value for Owner Occupied Units without a Mortgage,housingcost_medvalue_ownerocc_womortgage,Housing,Home Value,B25097_003E,1,0,0,0
280,Median Gross Rent Renter Occupied,housingcost_mediangrossrent_renteroccupied,Housing,Home Value,B25031_001E,1,0,1,0
281,Total Year Structure Built Series,structures_total_yearbuilt_series,Housing,Year Structure Built,B25034_001E,1,0,0,0
282,Structures Built 2014 or Later,structures_built2014orlater,Housing,Year Structure Built,B25034_002E,1,0,0,0
283,Structures Built 2010 to 2013,structures_built2010to2013,Housing,Year Structure Built,B25034_003E,1,0,0,0
284,Structures Built 2000 to 2009,structures_built2000to2009,Housing,Year Structure Built,B25034_004E,1,0,0,0
285,Structures Built 1990 to 1999,structures_built1990to1999,Housing,Year Structure Built,B25034_005E,1,0,0,0
286,Structures Built 1980 to 1989,structures_built1980to1989,Housing,Year Structure Built,B25034_006E,1,0,0,0
287,Structures Built 1970 to 1979,structures_built1970to1979,Housing,Year Structure Built,B25034_007E,1,0,0,0
288,Structures Built 1960 to 1969,structures_built1960to1969,Housing,Year Structure Built,B25034_008E,1,0,0,0
289,Structures Built 1950 to 1959,structures_built1950to1959,Housing,Year Structure Built,B25034_009E,1,0,0,0
290,Structures Built 1940 to 1949,structures_built1940to1949,Housing,Year Structure Built,B25034_010E,1,0,0,0
291,Structures Built 1939 or Earlier,structures_built1939orearlier,Housing,Year Structure Built,B25034_011E,1,0,0,0
292,Median Year Structure Built,structures_medianyearbuilt,Housing,Year Structure Built,B25035_001E,1,0,0,0
293,Total Sex of Workers by Means of Transportation to Work Series,commute_ total_meansoftransportationtowork_series,Transportation,Commute,B08006_001E,1,0,0,0
294,Car Truck or Van Commute,commute_cartruckvan,Transportation,Commute,B08006_002E,1,0,0,0
295,Car Truck or Van Drove Alone Commute,commute_cartruckvan_drovealone,Transportation,Commute,B08006_003E,1,0,0,0
296,Car Truck or Van Carpooled Commute,commute_cartruckvan_carpooled,Transportation,Commute,B08006_004E,1,0,0,0
297,Car Truck or Van 2 Person Carpooled Commute,commute_cartruckvan_carpooled_2ppl,Transportation,Commute,B08006_005E,1,0,0,0
298,Car Truck or Van 3 Person Carpooled Commute,commute_cartruckvan_carpooled_3ppl,Transportation,Commute,B08006_006E,1,0,0,0
299,Car Truck or Van 4 or More Person Carpooled Commute,commute_cartruckvan_carpooled_4ormoreppl,Transportation,Commute,B08006_007E,1,0,0,0
300,Public Transportation Excluding Taxicab Commute,commute_publictransportation,Transportation,Commute,B08006_008E,1,0,0,0
301,Public Transportation Bus Commute,commute_publictransportation_bus,Transportation,Commute,B08006_009E,1,0,0,0
302,Public Transportation Subway or Elevated Rail Commute,commute_publictransportation_subwayorelevatedrail,Transportation,Commute,B08006_010E,1,0,0,0
303,Public Transportation Long Distance Train or Commuter Rail Commute,commute_publictransportation_longdistancetrainorcommuterrail,Transportation,Commute,B08006_011E,1,0,0,0
304,Public Transportation Light Rail Streetcar or Trolley Commute,commute_publictransportation_lightrailstreetcarortrolley,Transportation,Commute,B08006_012E,1,0,0,0
305,Public Transportation Ferryboat Commute,commute_publictransportation_ferryboat,Transportation,Commute,B08006_013E,1,0,0,0
306,Bicycle Commute,commute_bicycle,Transportation,Commute,B08006_014E,1,0,0,0
307,Walked Commute,commute_walk,Transportation,Commute,B08006_015E,1,0,0,0
308,Taxicab Motorcycle or Other Means Commute,commute_taxicabmotorcycleother,Transportation,Commute,B08006_016E,1,0,0,0
309,Worked from Home Commute,commute_workedfromhome,Transportation,Commute,B08006_017E,1,0,0,0
310,Total Sex of Workers by Vehicles Available Series,vehicles_total_series2,Transportation,Vehicles,B08014_001E,1,0,0,0
311,No Vehicle Available,vehicles_none,Transportation,Vehicles,B08014_002E,1,0,0,0
312,One Vehicle Available,vehicles_one,Transportation,Vehicles,B08014_003E,1,0,0,0
313,Two Vehicles Available,vehicles_two,Transportation,Vehicles,B08014_004E,1,0,0,0
314,Three Vehicles Available,vehicles_three,Transportation,Vehicles,B08014_005E,1,0,0,0
315,Four Vehicles Available,vehicles_four,Transportation,Vehicles,B08014_006E,1,0,0,0
316,Five or More Vehicles Available,vehicles_fiveormore,Transportation,Vehicles,B08014_007E,1,0,0,0
317,Total Foreign Born Place of Birth Series,foreignborn_total,Population,Diversity,B05006_001E,1,0,0,0
318,Europe,fb_europe,Population,Diversity,B05006_002E,1,0,0,0
319,"Europe, Northern Europe",fb_eur_northern,Population,Diversity,B05006_003E,1,0,0,0
320,"Europe, Northern Europe, Ireland",fb_eur_n_ireland,Population,Diversity,B05006_004E,1,0,0,0
321,"Europe, Northern Europe, Denmark",fb_eur_n_denmark,Population,Diversity,B05006_005E,1,0,0,0
322,"Europe, Northern Europe, Norway",fb_eur_n_norway,Population,Diversity,B05006_006E,1,0,0,0
323,"Europe, Northern Europe, Sweden",fb_eur_n_sweden,Population,Diversity,B05006_007E,1,0,0,0
324,"Europe, Northern Europe, UK",fb_eur_n_uk,Population,Diversity,B05006_008E,1,0,0,0
325,"Europe, Northern Europe, UK, Excluding England and Scotland",fb_eur_n_excluding england and scotland,Population,Diversity,B05006_009E,1,0,0,0
326,"Europe, Northern Europe, UK, England",fb_eur_n_england,Population,Diversity,B05006_010E,1,0,0,0
327,"Europe, Northern Europe, UK, Scotland",fb_eur_n_scotland,Population,Diversity,B05006_011E,1,0,0,0
328,"Europe, Northern Europe, Other",fb_eur_n_other,Population,Diversity,B05006_012E,1,0,0,0
329,"Europe, Western Europe ",fb_eur_western,Population,Diversity,B05006_013E,1,0,0,0
330,"Europe, Western Europe, Austria",fb_eur_w_austria,Population,Diversity,B05006_014E,1,0,0,0
331,"Europe, Western Europe, Belgium",fb_eur_w_belgium,Population,Diversity,B05006_015E,1,0,0,0
332,"Europe, Western Europe, France",fb_eur_w_france,Population,Diversity,B05006_016E,1,0,0,0
333,"Europe, Western Europe, Germany",fb_eur_w_germany,Population,Diversity,B05006_017E,1,0,0,0
334,"Europe, Western Europe, Netherlands",fb_eur_w_netherlands,Population,Diversity,B05006_018E,1,0,0,0
335,"Europe, Western Europe, Switzerland",fb_eur_w_switzerland,Population,Diversity,B05006_019E,1,0,0,0
336,"Europe, Western Europe, Other",fb_eur_w_other,Population,Diversity,B05006_020E,1,0,0,0
337,"Europe, Southern Europe",fb_eur_southern,Population,Diversity,B05006_021E,1,0,0,0
338,"Europe, Southern Europe, Greece",fb_eur_s_greece,Population,Diversity,B05006_022E,1,0,0,0
339,"Europe, Southern Europe, Italy",fb_eur_s_italy,Population,Diversity,B05006_023E,1,0,0,0
340,"Europe, Southern Europe, Portugal",fb_eur_s_portugal,Population,Diversity,B05006_024E,1,0,0,0
341,"Europe, Southern Europe, Azores Islands",fb_eur_s_azoresislands,Population,Diversity,B05006_025E,1,0,0,0
342,"Europe, Southern Europe, Spain",fb_eur_s_spain,Population,Diversity,B05006_026E,1,0,0,0
343,"Europe, Southern Europe, Other",fb_eur_s_other,Population,Diversity,B05006_027E,1,0,0,0
344,"Europe, Eastern Europe",fb_eur_eastern,Population,Diversity,B05006_028E,1,0,0,0
345,"Europe, Eastern Europe, Albania",fb_eur_e_albania,Population,Diversity,B05006_029E,1,0,0,0
346,"Europe, Eastern Europe, Belarus",fb_eur_e_belarus,Population,Diversity,B05006_030E,1,0,0,0
347,"Europe, Eastern Europe, Bosnia and Herzegovina",fb_eur_e_bosniaandherzegovina,Population,Diversity,B05006_031E,1,0,0,0
348,"Europe, Eastern Europe, Bulgaria",fb_eur_e_bulgaria,Population,Diversity,B05006_032E,1,0,0,0
349,"Europe, Eastern Europe, Croatia",fb_eur_e_croatia,Population,Diversity,B05006_033E,1,0,0,0
350,"Europe, Eastern Europe, Czechoslovakia (Czech Republic and Slovakia)",fb_eur_e_czechoslovakia,Population,Diversity,B05006_034E,1,0,0,0
351,"Europe, Eastern Europe, Hungary",fb_eur_e_hungary,Population,Diversity,B05006_035E,1,0,0,0
352,"Europe, Eastern Europe, Latvia",fb_eur_e_latvia,Population,Diversity,B05006_036E,1,0,0,0
353,"Europe, Eastern Europe, Lithuania",fb_eur_e_lithuania,Population,Diversity,B05006_037E,1,0,0,0
354,"Europe, Eastern Europe, North Macedonia (Macedonia)",fb_eur_e_macedonia,Population,Diversity,B05006_038E,1,0,0,0
355,"Europe, Eastern Europe, Moldova",fb_eur_e_moldova,Population,Diversity,B05006_039E,1,0,0,0
356,"Europe, Eastern Europe, Poland",fb_eur_e_poland,Population,Diversity,B05006_040E,1,0,0,0
357,"Europe, Eastern Europe, Romania",fb_eur_e_romania,Population,Diversity,B05006_041E,1,0,0,0
358,"Europe, Eastern Europe, Russia",fb_eur_e_russia,Population,Diversity,B05006_042E,1,0,0,0
359,"Europe, Eastern Europe, Serbia",fb_eur_e_serbia,Population,Diversity,B05006_043E,1,0,0,0
360,"Europe, Eastern Europe, Ukraine",fb_eur_e_ukraine,Population,Diversity,B05006_044E,1,0,0,0
361,"Europe, Eastern Europe, Other",fb_eur_e_other,Population,Diversity,B05006_045E,1,0,0,0
362,"Europe, n.e.c.",fb_eur_nec,Population,Diversity,B05006_046E,1,0,0,0
363,Asia,fb_asia,Population,Diversity,B05006_047E,1,0,0,0
364,"Asia, Eastern Asia",fb_as_eastern,Population,Diversity,B05006_048E,1,0,0,0
365,"Asia, Eastern Asia,China",fb_as_e_china,Population,Diversity,B05006_049E,1,0,0,0
366,"Asia, Eastern Asia,China Excluding Hong Kong and Taiwan",fb_as_e_chinanohongkongortaiwan,Population,Diversity,B05006_050E,1,0,0,0
367,"Asia, Eastern Asia,Hong Kong",fb_as_e_hongkong,Population,Diversity,B05006_051E,1,0,0,0
368,"Asia, Eastern Asia,Taiwan",fb_as_e_taiwan,Population,Diversity,B05006_052E,1,0,0,0
369,"Asia, Eastern Asia,Japan",fb_as_e_japan,Population,Diversity,B05006_053E,1,0,0,0
370,"Asia, Eastern Asia,Korea",fb_as_e_korea,Population,Diversity,B05006_054E,1,0,0,0
371,"Asia, Eastern Asia,Other",fb_as_e_other,Population,Diversity,B05006_055E,1,0,0,0
372,"Asia, South Central Asia",fb_as_southcentral,Population,Diversity,B05006_056E,1,0,0,0
373,"Asia, South Central Asia,Afghanistan",fb_as_sc_afghanistan,Population,Diversity,B05006_057E,1,0,0,0
374,"Asia, South Central Asia,Bangladesh",fb_as_sc_bangladesh,Population,Diversity,B05006_058E,1,0,0,0
375,"Asia, South Central Asia,India",fb_as_sc_india,Population,Diversity,B05006_059E,1,0,0,0
376,"Asia, South Central Asia,Iran",fb_as_sc_iran,Population,Diversity,B05006_060E,1,0,0,0
377,"Asia, South Central Asia,Kazakhstan",fb_as_sc_kazakhstan,Population,Diversity,B05006_061E,1,0,0,0
378,"Asia, South Central Asia,Nepal",fb_as_sc_nepal,Population,Diversity,B05006_062E,1,0,0,0
379,"Asia, South Central Asia,Pakistan",fb_as_sc_pakistan,Population,Diversity,B05006_063E,1,0,0,0
380,"Asia, South Central Asia,Sri Lanka",fb_as_sc_srilanka,Population,Diversity,B05006_064E,1,0,0,0
381,"Asia, South Central Asia,Uzbekistan",fb_as_sc_uzbekistan,Population,Diversity,B05006_065E,1,0,0,0
382,"Asia, South Central Asia,Other",fb_as_sc_other,Population,Diversity,B05006_066E,1,0,0,0
383,"Asia, South Eastern Asia",fb_as_southeastern,Population,Diversity,B05006_067E,1,0,0,0
384,"Asia, South Eastern Asia,Burma",fb_as_se_burma,Population,Diversity,B05006_068E,1,0,0,0
385,"Asia, South Eastern Asia,Cambodia",fb_as_se_cambodia,Population,Diversity,B05006_069E,1,0,0,0
386,"Asia, South Eastern Asia,Indonesia",fb_as_se_indonesia,Population,Diversity,B05006_070E,1,0,0,0
387,"Asia, South Eastern Asia,Laos",fb_as_se_laos,Population,Diversity,B05006_071E,1,0,0,0
388,"Asia, South Eastern Asia,Malaysia",fb_as_se_malaysia,Population,Diversity,B05006_072E,1,0,0,0
389,"Asia, South Eastern Asia,Philippines",fb_as_se_philippines,Population,Diversity,B05006_073E,1,0,0,0
390,"Asia, South Eastern Asia,Singapore",fb_as_se_singapore,Population,Diversity,B05006_074E,1,0,0,0
391,"Asia, South Eastern Asia,Thailand",fb_as_se_thailand,Population,Diversity,B05006_075E,1,0,0,0
392,"Asia, South Eastern Asia,Vietnam",fb_as_se_vietnam,Population,Diversity,B05006_076E,1,0,0,0
393,"Asia, South Eastern Asia,Other",fb_as_se_other,Population,Diversity,B05006_077E,1,0,0,0
394,"Asia, Western Asia",fb_as_western,Population,Diversity,B05006_078E,1,0,0,0
395,"Asia, Western Asia,Armenia",fb_as_w_armenia,Population,Diversity,B05006_079E,1,0,0,0
396,"Asia, Western Asia,Iraq",fb_as_w_iraq,Population,Diversity,B05006_080E,1,0,0,0
397,"Asia, Western Asia,Israel",fb_as_w_israel,Population,Diversity,B05006_081E,1,0,0,0
398,"Asia, Western Asia,Jordan",fb_as_w_jordan,Population,Diversity,B05006_082E,1,0,0,0
399,"Asia, Western Asia,Kuwait",fb_as_w_kuwait,Population,Diversity,B05006_083E,1,0,0,0
400,"Asia, Western Asia,Lebanon",fb_as_w_lebanon,Population,Diversity,B05006_084E,1,0,0,0
401,"Asia, Western Asia,Saudi Arabia",fb_as_w_saudiarabia,Population,Diversity,B05006_085E,1,0,0,0
402,"Asia, Western Asia,Syria",fb_as_w_syria,Population,Diversity,B05006_086E,1,0,0,0
403,"Asia, Western Asia,Turkey",fb_as_w_turkey,Population,Diversity,B05006_087E,1,0,0,0
404,"Asia, Western Asia,Yemen",fb_as_w_yemen,Population,Diversity,B05006_088E,1,0,0,0
405,"Asia, Western Asia,Other",fb_as_w_other,Population,Diversity,B05006_089E,1,0,0,0
406,"Asia, n.e.c.",fb_as_nec,Population,Diversity,B05006_090E,1,0,0,0
407,Africa,fb_africa,Population,Diversity,B05006_091E,1,0,0,0
408,"Africa, Eastern Africa",fb_af_eastern,Population,Diversity,B05006_092E,1,0,0,0
409,"Africa, Eastern Africa,Eritrea",fb_af_e_eritrea,Population,Diversity,B05006_093E,1,0,0,0
410,"Africa, Eastern Africa,Ethiopia",fb_af_e_ethiopia,Population,Diversity,B05006_094E,1,0,0,0
411,"Africa, Eastern Africa,Kenya",fb_af_e_kenya,Population,Diversity,B05006_095E,1,0,0,0
412,"Africa, Eastern Africa,Somalia",fb_af_e_somalia,Population,Diversity,B05006_096E,1,0,0,0
413,"Africa, Eastern Africa,Uganda",fb_af_e_uganda,Population,Diversity,B05006_097E,1,0,0,0
414,"Africa, Eastern Africa,Zimbabwe",fb_af_e_zimbabwe,Population,Diversity,B05006_098E,1,0,0,0
415,"Africa, Eastern Africa,Other",fb_af_e_other,Population,Diversity,B05006_099E,1,0,0,0
416,"Africa, Middle Africa",fb_af_middle,Population,Diversity,B05006_100E,1,0,0,0
417,"Africa, Middle Africa,Cameroon",fb_af_m_cameroon,Population,Diversity,B05006_101E,1,0,0,0
418,"Africa, Middle Africa,Congo",fb_af_m_congo,Population,Diversity,B05006_102E,1,0,0,0
419,"Africa, Middle Africa,Democratic Republic of Congo (Zaire)",fb_af_m_democraticrepublicofcongo,Population,Diversity,B05006_103E,1,0,0,0
420,"Africa, Middle Africa,Other",fb_af_m_other,Population,Diversity,B05006_104E,1,0,0,0
421,"Africa, Northern Africa",fb_af_northern,Population,Diversity,B05006_105E,1,0,0,0
422,"Africa, Northern Africa,Egypt",fb_af_n_egypt,Population,Diversity,B05006_106E,1,0,0,0
423,"Africa, Northern Africa,Morocco",fb_af_n_morocco,Population,Diversity,B05006_107E,1,0,0,0
424,"Africa, Northern Africa,Sudan",fb_af_n_sudan,Population,Diversity,B05006_108E,1,0,0,0
425,"Africa, Northern Africa,Other",fb_af_n_other,Population,Diversity,B05006_109E,1,0,0,0
426,"Africa, Southern Africa",fb_af_southern,Population,Diversity,B05006_110E,1,0,0,0
427,"Africa, Southern Africa, South Africa",fb_af_s_southafrica,Population,Diversity,B05006_111E,1,0,0,0
428,"Africa, Southern Africa, Other",fb_af_s_other,Population,Diversity,B05006_112E,1,0,0,0
429,"Africa, Western Africa",fb_af_western,Population,Diversity,B05006_113E,1,0,0,0
430,"Africa, Western Africa,Cabo Verde",fb_af_w_caboverde,Population,Diversity,B05006_114E,1,0,0,0
431,"Africa, Western Africa,Ghana",fb_af_w_ghana,Population,Diversity,B05006_115E,1,0,0,0
432,"Africa, Western Africa,Liberia",fb_af_w_liberia,Population,Diversity,B05006_116E,1,0,0,0
433,"Africa, Western Africa,Nigeria",fb_af_w_nigeria,Population,Diversity,B05006_117E,1,0,0,0
434,"Africa, Western Africa,Senegal",fb_af_w_senegal,Population,Diversity,B05006_118E,1,0,0,0
435,"Africa, Western Africa,Sierra Leone",fb_af_w_sierraleone,Population,Diversity,B05006_119E,1,0,0,0
436,"Africa, Western Africa,Other",fb_af_w_other,Population,Diversity,B05006_120E,1,0,0,0
437,"Africa, n.e.c.",fb_af_nec,Population,Diversity,B05006_121E,1,0,0,0
438,Oceania,fb_oceania,Population,Diversity,B05006_122E,1,0,0,0
439,"Oceania, Australia and New Zealand Subregion",fb_oc_australianewzealandsubregion,Population,Diversity,B05006_123E,1,0,0,0
440,"Oceania, Australia and New Zealand Subregion, Australia",fb_oc_australianewzealandsubregion_australia,Population,Diversity,B05006_124E,1,0,0,0
441,"Oceania, Australia and New Zealand Subregion, Other",fb_oc_australianewzealandsubregion_other,Population,Diversity,B05006_125E,1,0,0,0
442,"Oceania, Fiji",fb_oc_fiji,Population,Diversity,B05006_126E,1,0,0,0
443,"Oceania, Micronesia",fb_oc_micronesia,Population,Diversity,B05006_127E,1,0,0,0
444,"Oceania, n.e.c.",fb_oc_nec,Population,Diversity,B05006_128E,1,0,0,0
