ID,Data Point,Column Name,Category,Sub Category,ACS Variable
1,Total Age by Sex Series,agebysex_total_series,Population,Sex by Age,B01001_001E
2,Average Household Size,hhsize_avg,Population,Household,B25010_001E
3,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,B17001_001E
4,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,B17001_002E
5,Housing Units,units_allhousing,Housing,Housing,B25001_001E
6,Total Occupancy Status Series,occupancy_total_series,Housing,Occupancy,B25002_001E
7,Occupied Units,occupancy_occupiedunits,Housing,Occupancy,B25002_002E
8,Vacant Units,occupancy_vacantunits,Housing,Occupancy,B25002_003E
9,Total Tenure Series,tenure_total_series,Housing,Tenure,B25003_001E
10,Owner Occupied Units,tenure_owneroccunits,Housing,Tenure,B25003_002E
11,Renter Occupied Units,tenure_renteroccunits,Housing,Tenure,B25003_003E
12,Total for Units in Structure,units_total_series,Housing,Units in Structure,B25024_001E
13,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,B25024_002E
14,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,B25024_003E
15,2 Units in Structure,units_two,Housing,Units in Structure,B25024_004E
16,3 or 4 Units in Structure,units_threetofour,Housing,Units in Structure,B25024_005E
17,5 to 9 Units in Structure,units_fivetonine,Housing,Units in Structure,B25024_006E
18,10 to 19 Units in Structure,units_tentonineteen,Housing,Units in Structure,B25024_007E
19,20 to 49 Units in Structure,units_twentytofortynine,Housing,Units in Structure,B25024_008E
20,50 or More Units in Structure,units_fiftyormore,Housing,Units in Structure,B25024_009E
21,Mobile Home Unit,units_mobilehome,Housing,Units in Structure,B25024_010E
22,"Boat, RV, Van etc. Unit",units_boatrvvanetc,Housing,Units in Structure,B25024_011E
23,Total Household Type Series,hhtype_total_series,Housing,Household Type,B11001_001E
24,Family Households,hhtype_familyhh,Housing,Household Type,B11001_002E
25,Family Household Married Couple Family,hhtype_familyhh_marriedcouplefam,Housing,Household Type,B11001_003E
26,Family Households Other Family,hhtype_familyhh_otherfam,Housing,Household Type,B11001_004E
27,Family Households Male Householder No Spouse,hhtype_familyhh_malenospouse,Housing,Household Type,B11001_005E
28,Family Households Female Householder No Spouse,hhtype_familyhh_femalenospouse,Housing,Household Type,B11001_006E
29,Nonfamily Households,hhtype_nonfamhh,Housing,Household Type,B11001_007E
30,Nonfamily Household Householder Living Alone,hhtype_nonfamhh_householderalone,Housing,Household Type,B11001_008E
31,Nonfamily Household Householder Not Living Alone,hhtype_nonfamhh_householdernotalone,Housing,Household Type,B11001_009E
32,Median Household Income,hhincome_median,Housing,Housing,B19013_001E
33,Household Income Total Series,hhincome_total_series,Housing,Household Income,B19001_001E
34,"Household Income Less than $10,000",hhincome_lessthan10000,Housing,Household Income,B19001_002E
35,"Household Income 10,000 to 14,999",hhincome_10to14999,Housing,Household Income,B19001_003E
36,"Household Income 15,000 to 19,999",hhincome_15to19999,Housing,Household Income,B19001_004E
37,"Household Income 20,000 to 24,999",hhincome_20to24999,Housing,Household Income,B19001_005E
38,"Household Income 25,000 to 29,999",hhincome_25to29999,Housing,Household Income,B19001_006E
39,"Household Income 30,000 to 34,999",hhincome_30to34999,Housing,Household Income,B19001_007E
40,"Household Income 35,000 to 39,999",hhincome_35to39999,Housing,Household Income,B19001_008E
41,"Household Income 40,000 to 44,999",hhincome_40to44999,Housing,Household Income,B19001_009E
42,"Household Income 45,000 to 49,999",hhincome_45to49999,Housing,Household Income,B19001_010E
43,"Household Income 50,000 to 59,999",hhincome_50to59999,Housing,Household Income,B19001_011E
44,"Household Income 60,000 to 74,999",hhincome_60to74999,Housing,Household Income,B19001_012E
45,"Household Income 75,000 to 99,999",hhincome_75to99999,Housing,Household Income,B19001_013E
46,"Household Income 100,000 to 124,999",hhincome_100to124999,Housing,Household Income,B19001_014E
47,"Household Income 125,000 to 149,999",hhincome125to149999,Housing,Household Income,B19001_015E
48,"Household Income 150,000 to 199,999",hhincome150to199999,Housing,Household Income,B19001_016E
49,"Household Income 200,000 or More",hhincome200ormore,Housing,Household Income,B19001_017E
50,Total Mortgage Status by Selected Monthly Owner Cost as a Percentage of Household Income in the Past 12 Months Series,housingcost_total_selectedownercosts%hhincome_series,Housing,Cost Burden,B25091_001E
51,Total Percent Owner Costs with a Mortgage Series,housingcost_total%ownercostwmortgage_series,Housing,Cost Burden,B25091_002E
52,Housing Units with a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_wmortgage,Housing,Cost Burden,B25091_008E
53,Housing Units with a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_wmortgage,Housing,Cost Burden,B25091_009E
54,Housing Units with a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_wmortgage,Housing,Cost Burden,B25091_010E
55,Housing Units with a Mortgage 50 or More Percent,housingcost_%ownercost50+_wmortgage,Housing,Cost Burden,B25091_011E
56,Total Percent Owner Costs without a Mortgage Series,housingcost_total%ownercostwomortgage_series,Housing,Cost Burden,B25091_013E
57,Housing Units without a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_womortgage,Housing,Cost Burden,B25091_019E
58,Housing Units without a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_womortgage,Housing,Cost Burden,B25091_020E
59,Housing Units without a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_womortgage,Housing,Cost Burden,B25091_021E
60,Housing Units without a Mortgage 50 or More Percent,housingcost_%ownercost50+_womortgage,Housing,Cost Burden,B25091_022E
61,Total Gross Rent as Percentage of Household Income in Past 12 Months Series,housingcost_total_rent%hhincome_series,Housing,Cost Burden,B25070_001E
62,Gross Rent 30 to 34.9 Percent of Household Income,housingcost_%rentercost30to34.9,Housing,Cost Burden,B25070_007E
63,Gross Rent 35 to 39.9 Percent of Household Income,housingcost_%rentercost35to39.9,Housing,Cost Burden,B25070_008E
64,Gross Rent 40 to 49.9 Percent of Household Income,housingcost_%rentercost40to49.9,Housing,Cost Burden,B25070_009E
65,Gross Rent 50 Percent or More of Household Income,housingcost_%rentercost50+,Housing,Cost Burden,B25070_010E
66,Median Value for Owner Occupied Units with a Mortgage,housingcost_medvalue_ownerocc_wmortgage,Housing,Home Value,B25097_002E
67,Median Value for Owner Occupied Units without a Mortgage,housingcost_medvalue_ownerocc_womortgage,Housing,Home Value,B25097_003E
68,Median Gross Rent Renter Occupied,housingcost_mediangrossrent_renteroccupied,Housing,Home Value,B25064_001E
69,Workers by Means of Transportation to Work Series,commute_total_meansoftransportationtowork_series,Transportation,Commute,B08006_001E
70,Car Truck or Van Commute,commute_cartruckvan,Transportation,Commute,B08006_002E
71,Car Truck or Van Drove Alone Commute,commute_cartruckvan_drovealone,Transportation,Commute,B08006_003E
72,Car Truck or Van Carpooled Commute,commute_cartruckvan_carpooled,Transportation,Commute,B08006_004E
73,Car Truck or Van 2 Person Carpooled Commute,commute_cartruckvan_carpooled_2ppl,Transportation,Commute,B08006_005E
74,Car Truck or Van 3 Person Carpooled Commute,commute_cartruckvan_carpooled_3ppl,Transportation,Commute,B08006_006E
75,Car Truck or Van 4 or More Person Carpooled Commute,commute_cartruckvan_carpooled_4ormoreppl,Transportation,Commute,B08006_007E
76,Public Transportation Excluding Taxicab Commute,commute_publictransportation,Transportation,Commute,B08006_008E
77,Public Transportation Bus Commute,commute_publictransportation_bus,Transportation,Commute,B08006_009E
78,Public Transportation Subway or Elevated Rail Commute,commute_publictransportation_subwayorelevatedrail,Transportation,Commute,B08006_010E
79,Public Transportation Long Distance Train or Commuter Rail Commute,commute_publictransportation_longdistancetrainorcommuterrail,Transportation,Commute,B08006_011E
80,Public Transportation Light Rail Streetcar or Trolley Commute,commute_publictransportation_lightrailstreetcarortrolley,Transportation,Commute,B08006_012E
81,Public Transportation Ferryboat Commute,commute_publictransportation_ferryboat,Transportation,Commute,B08006_013E
82,Bicycle Commute,commute_bicycle,Transportation,Commute,B08006_014E
83,Walked Commute,commute_walk,Transportation,Commute,B08006_015E
84,Taxicab Motorcycle or Other Means Commute,commute_taxicabmotorcycleother,Transportation,Commute,B08006_016E
85,Worked from Home Commute,commute_workedfromhome,Transportation,Commute,B08006_017E
86,Total Foreign Born Place of Birth Series,foreignborn_total,Population,Diversity,B05006_001E
87,Europe,fb_europe,Population,Diversity,B05006_002E
88,Asia,fb_asia,Population,Diversity,B05006_047E
89,Africa,fb_africa,Population,Diversity,B05006_091E
90,Oceania,fb_oceania,Population,Diversity,B05006_122E
91,Americas,fb_americas,Population,Diversity,B05006_129E
92,"Americas, Latin America",fb_am_latinamerica,Population,Diversity,B05006_130E
93,"Americas, Northern America",fb_am_northern,Population,Diversity,B05006_159E
94,"Total, Means of Transportation to Work by Class of Worker Series",classworker_total_series,Employment,Class of Worker,B08128_001E
95,Private for Profit Wage and Salary Workers,classworker_privateforprofit,Employment,Class of Worker,B08128_002E
96,"Private for Profit Wage and Salary Workers, Employee of Private Company Workers",classworker_privateforprofit_employee,Employment,Class of Worker,B08128_003E
97,"Private for Profit Wage and Salary Workers, Self-Employed in own Incorporated Business ",classworker_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,B08128_004E
98,Private not for Profit Wage and Salary Workers,classworker_privatenotforprofit,Employment,Class of Worker,B08128_005E
99,Local Government Workers,classworker_localgovt,Employment,Class of Worker,B08128_006E
100,State Government Workers,classworker_stategovt,Employment,Class of Worker,B08128_007E
101,Federal Government Workers,classworker_federalgovt,Employment,Class of Worker,B08128_008E
102,Self Employed in Own Non-Incorporated Business Workers,classworker_selfemployednonincorporatedbusiness,Employment,Class of Worker,B08128_009E
103,Unpaid Family Workers,classworker_unpaidfamilyworker,Employment,Class of Worker,B08128_010E
104,Total Sex by Age by Employment Status for the 16+ Population Series,lfstatus_total_sexbyagebyemploymentstatus16+_series,Employment,Labor Force Status,B23001_001E
105,Male 16 to 19 Civilian,lfstatus_mciv_16to19,Employment,Labor Force Status,B23001_006E
106,Male 16 to 19 Civilian Employed,lfstatus_mciv_16to19_employed,Employment,Labor Force Status,B23001_007E
107,Male 16 to 19 Civilian Unemployed,lfstatus_mciv_16to19_unemployed,Employment,Labor Force Status,B23001_008E
108,Male 20 and 21 Civilian,lfstatus_mciv_20to21,Employment,Labor Force Status,B23001_013E
109,Male 20 and 21 Civilian Employed,lfstatus_mciv_20to21_employed,Employment,Labor Force Status,B23001_014E
110,Male 20 and 21 Civilian Unemployed,lfstatus_mciv_20to21_unemployed,Employment,Labor Force Status,B23001_015E
111,Male 22 to 24 Civilian,lfstatus_mciv_22to24,Employment,Labor Force Status,B23001_020E
112,Male 22 to 24 Civilian Employed,lfstatus_mciv_22to24_employed,Employment,Labor Force Status,B23001_021E
113,Male 22 to 24 Civilian Unemployed,lfstatus_mciv_22to24_unemployed,Employment,Labor Force Status,B23001_022E
114,Male 25 to 29 Civilian,lfstatus_mciv_25to29,Employment,Labor Force Status,B23001_027E
115,Male 25 to 29 Civilian Employed,lfstatus_mciv_25to29_employed,Employment,Labor Force Status,B23001_028E
116,Male 25 to 29 Civilian Unemployed,lfstatus_mciv_25to29_unemployed,Employment,Labor Force Status,B23001_029E
117,Male 30 to 34 Civilian,lfstatus_mciv_30to34,Employment,Labor Force Status,B23001_034E
118,Male 30 to 34 Civilian Employed,lfstatus_mciv_30to34_employed,Employment,Labor Force Status,B23001_035E
119,Male 30 to 34 Civilian Unemployed,lfstatus_mciv_30to34_unemployed,Employment,Labor Force Status,B23001_036E
120,Male 35 to 44 Civilian,lfstatus_mciv_35to44,Employment,Labor Force Status,B23001_041E
121,Male 35 to 44 Civilian Employed,lfstatus_mciv_35to44_employed,Employment,Labor Force Status,B23001_042E
122,Male 35 to 44 Civilian Unemployed,lfstatus_mciv_35to44_unemployed,Employment,Labor Force Status,B23001_043E
123,Male 45 to 54 Civilian,lfstatus_mciv_45to54,Employment,Labor Force Status,B23001_048E
124,Male 45 to 54 Civilian Employed,lfstatus_mciv_45to54_employed,Employment,Labor Force Status,B23001_049E
125,Male 45 to 54 Civilian Unemployed,lfstatus_mciv_45to54_unemployed,Employment,Labor Force Status,B23001_050E
126,Male 55 to 59 Civilian,lfstatus_mciv_55to59,Employment,Labor Force Status,B23001_055E
127,Male 55 to 59 Civilian Employed,lfstatus_mciv_55to59_employed,Employment,Labor Force Status,B23001_056E
128,Male 55 to 59 Civilian Unemployed,lfstatus_mciv_55to59_unemployed,Employment,Labor Force Status,B23001_057E
129,Male 60 and 61 Civilian,lfstatus_mciv_60to61,Employment,Labor Force Status,B23001_062E
130,Male 60 and 61 Civilian Employed,lfstatus_mciv_60to61_employed,Employment,Labor Force Status,B23001_063E
131,Male 60 and 61 Civilian Unemployed,lfstatus_mciv_60to61_unemployed,Employment,Labor Force Status,B23001_064E
132,Male 62 to 64 Civilian,lfstatus_mciv_62to64,Employment,Labor Force Status,B23001_069E
133,Male 62 to 64 Civilian Employed,lfstatus_mciv_62to64_employed,Employment,Labor Force Status,B23001_070E
134,Male 62 to 64 Civilian Unemployed,lfstatus_mciv_62to64_unemployed,Employment,Labor Force Status,B23001_071E
135,Male 65 to 69 Civilian,lfstatus_mciv_65to69,Employment,Labor Force Status,B23001_074E
136,Male 65 to 69 Civilian Employed,lfstatus_mciv_65to69_employed,Employment,Labor Force Status,B23001_075E
137,Male 65 to 69 Civilian Unemployed,lfstatus_mciv_65to69_unemployed,Employment,Labor Force Status,B23001_076E
138,Male 70 to 74 Civilian,lfstatus_mciv_70to74,Employment,Labor Force Status,B23001_079E
139,Male 70 to 74 Civilian Employed,lfstatus_mciv_70to74_employed,Employment,Labor Force Status,B23001_080E
140,Male 70 to 74 Civilian Unemployed,lfstatus_mciv_70to74_unemployed,Employment,Labor Force Status,B23001_081E
141,Male 75+ Civilian,lfstatus_mciv_75+,Employment,Labor Force Status,B23001_084E
142,Male 75+ Civilian Employed,lfstatus_mciv_75+_employed,Employment,Labor Force Status,B23001_085E
143,Male 75+ Civilian Unemployed,lfstatus_mciv_75+_unemployed,Employment,Labor Force Status,B23001_086E
144,Female 16 to 19 Civilian,lfstatus_fciv_16to19,Employment,Labor Force Status,B23001_092E
145,Female 16 to 19 Civilian Employed,lfstatus_fciv_16to19_employed,Employment,Labor Force Status,B23001_093E
146,Female 16 to 19 Civilian Unemployed,lfstatus_fciv_16to19_unemployed,Employment,Labor Force Status,B23001_094E
147,Female 20 and 21 Civilian,lfstatus_fciv_20to21,Employment,Labor Force Status,B23001_099E
148,Female 20 and 21 Civilian Employed,lfstatus_fciv_20to21_employed,Employment,Labor Force Status,B23001_100E
149,Female 20 and 21 Civilian Unemployed,lfstatus_fciv_20to21_unemployed,Employment,Labor Force Status,B23001_101E
150,Female 22 to 24 Civilian,lfstatus_fciv_22to24,Employment,Labor Force Status,B23001_106E
151,Female 22 to 24 Civilian Employed,lfstatus_fciv_22to24_employed,Employment,Labor Force Status,B23001_107E
152,Female 22 to 24 Civilian Unemployed,lfstatus_fciv_22to24_unemployed,Employment,Labor Force Status,B23001_108E
153,Female 25 to 29 Civilian,lfstatus_fciv_25to29,Employment,Labor Force Status,B23001_113E
154,Female 25 to 29 Civilian Employed,lfstatus_fciv_25to29_employed,Employment,Labor Force Status,B23001_114E
155,Female 25 to 29 Civilian Unemployed,lfstatus_fciv_25to29_unemployed,Employment,Labor Force Status,B23001_115E
156,Female 30 to 34 Civilian,lfstatus_fciv_30to34,Employment,Labor Force Status,B23001_120E
157,Female 30 to 34 Civilian Employed,lfstatus_fciv_30to34_employed,Employment,Labor Force Status,B23001_121E
158,Female 30 to 34 Civilian Unemployed,lfstatus_fciv_30to34_unemployed,Employment,Labor Force Status,B23001_122E
159,Female 35 to 44 Civilian,lfstatus_fciv_35to44,Employment,Labor Force Status,B23001_127E
160,Female 35 to 44 Civilian Employed,lfstatus_fciv_35to44_employed,Employment,Labor Force Status,B23001_128E
161,Female 35 to 44 Civilian Unemployed,lfstatus_fciv_35to44_unemployed,Employment,Labor Force Status,B23001_129E
162,Female 45 to 54 Civilian,lfstatus_fciv_45to54,Employment,Labor Force Status,B23001_134E
163,Female 45 to 54 Civilian Employed,lfstatus_fciv_45to54_employed,Employment,Labor Force Status,B23001_135E
164,Female 45 to 54 Civilian Unemployed,lfstatus_fciv_45to54_unemployed,Employment,Labor Force Status,B23001_136E
165,Female 55 to 59 Civilian,lfstatus_fciv_55to59,Employment,Labor Force Status,B23001_141E
166,Female 55 to 59 Civilian Employed,lfstatus_fciv_55to59_employed,Employment,Labor Force Status,B23001_142E
167,Female 55 to 59 Civilian Unemployed,lfstatus_fciv_55to59_unemployed,Employment,Labor Force Status,B23001_143E
168,Female 60 and 61 Civilian,lfstatus_fciv_60to61,Employment,Labor Force Status,B23001_148E
169,Female 60 and 61 Civilian Employed,lfstatus_fciv_60to61_employed,Employment,Labor Force Status,B23001_149E
170,Female 60 and 61 Civilian Unemployed,lfstatus_fciv_60to61_unemployed,Employment,Labor Force Status,B23001_150E
171,Female 62 to 64 Civilian,lfstatus_fciv_62to64,Employment,Labor Force Status,B23001_155E
172,Female 62 to 64 Civilian Employed,lfstatus_fciv_62to64_employed,Employment,Labor Force Status,B23001_156E
173,Female 62 to 64 Civilian Unemployed,lfstatus_fciv_62to64_unemployed,Employment,Labor Force Status,B23001_157E
174,Female 65 to 69 Civilian,lfstatus_fciv_65to69,Employment,Labor Force Status,B23001_160E
175,Female 65 to 69 Civilian Employed,lfstatus_fciv_65to69_employed,Employment,Labor Force Status,B23001_161E
176,Female 65 to 69 Civilian Unemployed,lfstatus_fciv_65to69_unemployed,Employment,Labor Force Status,B23001_162E
177,Female 70 to 74 Civilian,lfstatus_fciv_70to74,Employment,Labor Force Status,B23001_165E
178,Female 70 to 74 Civilian Employed,lfstatus_fciv_70to74_employed,Employment,Labor Force Status,B23001_166E
179,Female 70 to 74 Civilian Unemployed,lfstatus_fciv_70to74_unemployed,Employment,Labor Force Status,B23001_167E
180,Female 75+ Civilian,lfstatus_fciv_75+,Employment,Labor Force Status,B23001_170E
181,Female 75+ Civilian Employed,lfstatus_fciv_75+_employed,Employment,Labor Force Status,B23001_171E
182,Female 75+ Civilian Unemployed,lfstatus_fciv_75+_unemployed,Employment,Labor Force Status,B23001_172E
183,Per Capita Personal Income in the Past 12 Months in Most Recent Year Dollars,percapita_income,Employment,Income,B19301_001E
184,Total Geographic Mobility in the Past Year by Age Series,geo_total_series,Geographic Mobility,Moved,B07001_001E
185,Geographic Mobility Past Year Age 1 to 4 Total,geo_1to4_total,Geographic Mobility,Moved,B07001_002E
186,Geographic Mobility Past Year Age 5 to 17 Total,geo_5to17_total,Geographic Mobility,Moved,B07001_003E
187,Geographic Mobility Past Year Age 18 to 19 Total,geo_18to19_total,Geographic Mobility,Moved,B07001_004E
188,Geographic Mobility Past Year Age 20 to 24 Total,geo_20to24_total,Geographic Mobility,Moved,B07001_005E
189,Geographic Mobility Past Year Age 25 to 29 Total,geo_25to29_total,Geographic Mobility,Moved,B07001_006E
190,Geographic Mobility Past Year Age 30 to 34 Total,geo_30to34_total,Geographic Mobility,Moved,B07001_007E
191,Geographic Mobility Past Year Age 35 to 39 Total,geo_35to39_total,Geographic Mobility,Moved,B07001_008E
192,Geographic Mobility Past Year Age 40 to 44 Total,geo_40to44_total,Geographic Mobility,Moved,B07001_009E
193,Geographic Mobility Past Year Age 45 to 49 Total,geo_45to49_total,Geographic Mobility,Moved,B07001_010E
194,Geographic Mobility Past Year Age 50 to 54 Total,geo_50to54_total,Geographic Mobility,Moved,B07001_011E
195,Geographic Mobility Past Year Age 55 to 59 Total,geo_55to59_total,Geographic Mobility,Moved,B07001_012E
196,Geographic Mobility Past Year Age 60 to 64 Total,geo_60to64_total,Geographic Mobility,Moved,B07001_013E
197,Geographic Mobility Past Year Age 65 to 69 Total,geo_65to69_total,Geographic Mobility,Moved,B07001_014E
198,Geographic Mobility Past Year Age 70 to74 Total,geo_70to74_total,Geographic Mobility,Moved,B07001_015E
199,Geographic Mobility Past Year Age 75+ Total,geo_75+_total,Geographic Mobility,Moved,B07001_016E
200,Geographic Mobility Total Same House One Year Ago,geo_samehouse_total,Geographic Mobility,Moved,B07001_017E
201,Geo Mobility 55 to 59 Same House One Year Ago,geo_55to59_samehouse,Geographic Mobility,Moved,B07001_028E
202,Geo Mobility 60 to 64 Same House One Year Ago,geo_60to64_samehouse,Geographic Mobility,Moved,B07001_029E
203,Geo Mobility 65 to 69 Same House One Year Ago,geo_65to69_samehouse,Geographic Mobility,Moved,B07001_030E
204,Geo Mobility 70 to 74 Same House One Year Ago,geo_70to74_samehouse,Geographic Mobility,Moved,B07001_031E
205,Geo Mobility 75+ Same House One Year Ago,geo_75+_samehouse,Geographic Mobility,Moved,B07001_032E
206,Geographic Mobility Total Moved Within Same County,geo_movedsamecounty_total,Geographic Mobility,Moved,B07001_033E
207,Geo Mobility 55 to 59 Moved Within Same County,geo_55to59_movedsamecounty,Geographic Mobility,Moved,B07001_044E
208,Geo Mobility 60 to 64 Moved Within Same County,geo_60to64_movedsamecounty,Geographic Mobility,Moved,B07001_045E
209,Geo Mobility 65 to 69 Moved Within Same County,geo_65to69_movedsamecounty,Geographic Mobility,Moved,B07001_046E
210,Geo Mobility 70 to 74 Moved Within Same County,geo_70to74_movedsamecounty,Geographic Mobility,Moved,B07001_047E
211,Geo Mobility 75+ Moved Within Same County,geo_75+_movedsamecounty,Geographic Mobility,Moved,B07001_048E
212,Geographic Mobility Moved from Different County Within Same State,geo_moveddifferentcountysamestate_total,Geographic Mobility,Moved,B07001_049E
213,Geo Mobility 55 to 59 Moved from Different County in Same State,geo_55to59_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_060E
214,Geo Mobility 60 to 64 Moved from Different County in Same State,geo_60to64_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_061E
215,Geo Mobility 65 to 69 Moved from Different County in Same State,geo_65to69_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_062E
216,Geo Mobility 70 to 74 Moved from Different County in Same State,geo_70to74_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_063E
217,Geo Mobility 75+ Moved from Different County in Same State,geo_75+_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_064E
218,Geographic Mobility Moved From Different State,geo_moveddifferentstate_total,Geographic Mobility,Moved,B07001_065E
219,Geo Mobility 55 to 59 Moved from Different State,geo_55to59_moveddifferentstate,Geographic Mobility,Moved,B07001_076E
220,Geo Mobility 60 to 64 Moved from Different State,geo_60to64_moveddifferentstate,Geographic Mobility,Moved,B07001_077E
221,Geo Mobility 65 to 69 Moved from Different State,geo_65to69_moveddifferentstate,Geographic Mobility,Moved,B07001_078E
222,Geo Mobility 70 to 74 Moved from Different State,geo_70to74_moveddifferentstate,Geographic Mobility,Moved,B07001_079E
223,Geo Mobility 75+ Moved from Different State,geo_75+_moveddifferentstate,Geographic Mobility,Moved,B07001_080E
224,Geographic Mobility Moved from Abroad,geo_movedabroad_total,Geographic Mobility,Moved,B07001_081E
